단과대학,학과,연락처,학과실,홈페이지
인문대학,독일언어문학과,062-530-3170,인문대 3호관 203호,https://german.jnu.ac.kr/
인문대학,불어불문학과,062-530-3190,인문대 3호관 2층 통합학과실,https://french.jnu.ac.kr/
인문대학,중어중문학과,062-530-3200,인문대 3호관 2층 통합학과실,https://china.jnu.ac.kr/
인문대학,일어일문학과,062-530-3210,인문대 2호관 124호,https://nihon.jnu.ac.kr/
인문대학,사학과,062-530-3240,인문대 3호관 2층 통합학과실,https://history.jnu.ac.kr/
인문대학,철학과,062-530-3220,인문대 3호관 203호,https://philos.jnu.ac.kr/
자연과학대학,수학과,062-530-3330,자연과학대학 1호관 332호,https://math.jnu.ac.kr/
자연과학대학,통계학과,062-530-3440,자연과학대학 1호관 207호,https://stat.jnu.ac.kr/
자연과학대학,물리학과,062-530-3350,자연과학대학 4호관 205호,https://physics.jnu.ac.kr/
자연과학대학,지구환경과학부,062-530-3450,자연과학대학,https://geology.jnu.ac.kr/
자연과학대학,생물학과,062-530-3390,자연과학대학 1호관 217호,https://biology.jnu.ac.kr/
자연과학대학,화학과,062-530-3370,기초과학관(자연과학대학 5호관 A동) 102호,https://chem.jnu.ac.kr/
자연과학대학,생명과학기술학부,062-530-1035,용지관 A동 506호,https://sbst.jnu.ac.kr/
AI융합대학,인공지능학부,"062-530-4205, 4206",AI융합대학,https://aisw.jnu.ac.kr/
AI융합대학,지능형모빌리티융합학과,"062-530-4205, 4206",AI융합대학,https://imob.jnu.ac.kr/
AI융합대학,빅데이터융합학과,062-530-3440,AI융합대학,https://bigdata.jnu.ac.kr/
본부직할학부,자율전공학부(4년),"062-530-5065, 1047",진리관 7층 자율전공학부 사무실(708호),https://sdis.jnu.ac.kr/
